Date,beta_1,beta_2,beta_3,beta_4,beta_5,SP500
25-oct-96,0.000955643,0.070435831,0.004168989,0.001598188,0.00261184,0.017022855
28-oct-96,0.001019016,0.063135606,0.004666215,0.001647372,0.002423391,0.018054387
29-oct-96,0.001118694,0.106066216,0.004187003,0.001703167,0.002728034,0.02173618
30-oct-96,0.001288709,0.086062794,0.005257703,0.001754597,0.00319265,0.017614509
31-oct-96,0.001241172,0.086861028,0.005301056,0.001737775,0.003377853,0.018276989
01-nov-96,0.001186586,0.077043487,0.006778767,0.001605802,0.003259384,0.014996767
04-nov-96,0.001221736,0.062995602,0.006055392,0.001489113,0.00371802,0.016631917
05-nov-96,0.001368741,0.061321716,0.006444185,0.001385334,0.003673487,0.014526034
06-nov-96,0.002069776,0.073929587,0.006188313,0.002106068,0.003602887,0.010859589
07-nov-96,0.001835305,0.056107485,0.005940546,0.00192548,0.003257982,0.007445008
08-nov-96,0.001628708,0.073352595,0.005459964,0.002116699,0.002937672,0.007303303
11-nov-96,0.001543884,0.053020459,0.00494961,0.002101825,0.002644478,0.006830107
12-nov-96,0.001318494,0.049439599,0.004504659,0.00190137,0.002376863,0.007367253
13-nov-96,0.001196433,0.04380573,0.004039709,0.001734875,0.002205041,0.00966386
14-nov-96,0.001062952,0.035308925,0.003772985,0.001627682,0.002124451,0.009195091
15-nov-96,0.000930634,0.028172198,0.003411402,0.001887624,0.001965382,0.007199032
18-nov-96,0.000940703,0.040384229,0.003123936,0.001769682,0.001803234,0.007082204
19-nov-96,0.000933082,0.054163221,0.00301038,0.001720948,0.00163665,0.00828812
20-nov-96,0.000951873,0.045899762,0.003250541,0.00158014,0.001543452,0.006756052
21-nov-96,0.000975388,0.05848776,0.002950849,0.001496667,0.001408057,0.007094579
22-nov-96,0.001332738,0.046123484,0.002738962,0.001391371,0.001291941,0.008757384
25-nov-96,0.001273682,0.035887152,0.002544296,0.0013102,0.001217955,0.006892602
26-nov-96,0.001707709,0.073076695,0.002449044,0.001249544,0.001351193,0.005743904
27-nov-96,0.004481641,0.068743674,0.002346417,0.001469554,0.001244016,0.00799959
29-nov-96,0.003539764,0.059958334,0.002140823,0.001749547,0.001146662,0.009917174
02-Dec-1996,0.002817121,0.053764044,0.001957316,0.001636151,0.001078429,0.009897581
03-Dec-1996,0.002465635,0.056410659,0.001794177,0.00150959,0.000999524,0.0114449
04-Dec-1996,0.002962237,0.059138734,0.002622416,0.001424398,0.00205096,0.019774814
05-Dec-1996,0.002428791,0.043566144,0.003765102,0.001345545,0.002079248,0.022347363
06-Dec-1996,0.002034301,0.051007509,0.00344937,0.001346009,0.001879594,0.022402825
09-Dec-1996,0.001765582,0.058103716,0.003114675,0.001263951,0.001965524,0.02687591
10-Dec-1996,0.001562482,0.04297086,0.002850469,0.00132733,0.00189618,0.017860947
11-Dec-1996,0.001469913,0.044995942,0.002582752,0.001255718,0.001719124,0.01971992
12-Dec-1996,0.002792585,0.138708713,0.003997007,0.001652834,0.002461943,0.027064796
13-Dec-1996,0.002461425,0.160462283,0.004218477,0.003451183,0.002319879,0.041575912
16-Dec-1996,0.002160542,0.158774839,0.004057817,0.003272234,0.002113878,0.03982246
17-Dec-1996,0.004073997,0.144127985,0.004099189,0.002929166,0.002116965,0.048928024
18-Dec-1996,0.00334882,0.112599597,0.003700436,0.00265628,0.001938151,0.038821345
19-Dec-1996,0.002858434,0.08082371,0.003337995,0.00245556,0.001776097,0.0301188
20-Dec-1996,0.002874908,0.068888345,0.003088947,0.002666685,0.001949834,0.018596794
23-Dec-1996,0.00258135,0.054133758,0.003182664,0.00335564,0.001938207,0.016307837
24-Dec-1996,0.002172951,0.06219511,0.002957158,0.002964901,0.002611799,0.01846987
26-Dec-1996,0.001854376,0.04994488,0.002764329,0.002751234,0.002348591,0.01554635
27-Dec-1996,0.001773685,0.048702065,0.002886388,0.002470719,0.002252778,0.012979768
30-Dec-1996,0.001746989,0.066993291,0.002624353,0.002222643,0.002045341,0.013414058
31-Dec-1996,0.001627362,0.079041101,0.003673696,0.002817637,0.002989415,0.016830908
02-Jan-1997,0.001590201,0.114781256,0.003912541,0.002681217,0.003625365,0.032581638
03-Jan-1997,0.00175021,0.094823117,0.005060018,0.002402685,0.004036859,0.035586275
06-Jan-1997,0.001573312,0.067145249,0.006156101,0.002176256,0.004267143,0.023566266
07-Jan-1997,0.001716203,0.08912164,0.008090793,0.002289487,0.004317679,0.023626731
08-Jan-1997,0.001599445,0.07275962,0.007993388,0.002063361,0.004281074,0.018678098
09-Jan-1997,0.001562753,0.067877406,0.007349307,0.001935735,0.003867163,0.02351155
10-Jan-1997,0.00206331,0.101222083,0.008272582,0.0024038,0.003781158,0.018444467
13-Jan-1997,0.001819419,0.085651005,0.007726556,0.002180852,0.003379221,0.015664293
14-Jan-1997,0.001667113,0.091134343,0.007062122,0.00204178,0.003089702,0.016722115
