Date,Open,High,Low,Close,AdjClose,Volume,Rf,Ret_m_Rf_dvdy
25/11/96,748.72998,757.049988,747.98999,757.030029,757.030029,475260000,0.02,0.010945928
26/11/96,757.030029,762.119995,752.830017,755.960022,755.960022,527380000,0.02,-0.001493009
27/11/96,755.960022,757.299988,753.179993,755,755,377780000,0.02,-0.001349326
29/11/96,755,758.27002,755,757.02002,757.02002,14990000,0.02,0.002593368
02/12/96,757.02002,757.030029,751.48999,756.559998,756.559998,412520000,0.022,-0.000694215
03/12/96,756.559998,761.75,747.580017,748.280029,748.280029,516160000,0.022,-0.011090917
04/12/96,748.280029,748.400024,738.460022,745.099976,745.099976,498240000,0.022,-0.004345228
05/12/96,745.099976,747.650024,742.609985,744.380005,744.380005,483710000,0.022,-0.001053097
06/12/96,744.380005,744.380005,726.890015,739.599976,739.599976,500860000,0.022,-0.006528552
09/12/96,739.599976,749.76001,739.599976,749.76001,749.76001,381570000,0.022,0.013557346
10/12/96,749.76001,753.429993,747.02002,747.539978,747.539978,446120000,0.022,-0.003051738
11/12/96,747.539978,747.539978,732.75,740.72998,740.72998,494210000,0.022,-0.009237982
12/12/96,740.72998,744.859985,729.299988,729.299988,729.299988,492920000,0.022,-0.015637361
13/12/96,729.330017,731.400024,721.969971,728.640015,728.640015,458540000,0.022,-0.000991705
16/12/96,728.640015,732.679993,719.400024,720.97998,720.97998,447560000,0.022,-0.010654789
17/12/96,720.97998,727.669983,716.690002,726.039978,726.039978,519840000,0.022,0.006907354
18/12/96,726.039978,732.76001,726.039978,731.539978,731.539978,500490000,0.022,0.007460437
19/12/96,731.539978,746.059998,731.539978,745.76001,745.76001,526410000,0.022,0.01916562
20/12/96,745.76001,755.409973,745.76001,748.869995,748.869995,654340000,0.022,0.004075196
23/12/96,748.869995,750.400024,743.280029,746.919983,746.919983,343280000,0.022,-0.002693691
24/12/96,746.919983,751.030029,746.919983,751.030029,751.030029,165140000,0.022,0.00540122
26/12/96,751.030029,757.070007,751.02002,755.820007,755.820007,254630000,0.022,0.00627127
27/12/96,755.820007,758.75,754.820007,756.789978,756.789978,253810000,0.022,0.001196158
30/12/96,756.789978,759.200012,752.72998,753.849976,753.849976,339060000,0.022,-0.003978753
31/12/96,753.849976,753.950012,740.73999,740.73999,740.73999,399760000,0.022,-0.017630059
02/01/97,740.73999,742.809998,729.549988,737.01001,737.01001,463230000,0.02,-0.005126781
03/01/97,737.01001,748.23999,737.01001,748.030029,748.030029,452970000,0.02,0.014763067
06/01/97,748.030029,753.309998,743.820007,747.650024,747.650024,531350000,0.02,-0.000586719
07/01/97,747.650024,753.26001,742.179993,753.22998,753.22998,538220000,0.02,0.007357032
08/01/97,753.22998,755.719971,747.710022,748.409973,748.409973,557510000,0.02,-0.006498261
09/01/97,748.409973,757.679993,748.409973,754.849976,754.849976,555370000,0.02,0.00848952
10/01/97,754.849976,759.650024,746.919983,759.5,759.5,545850000,0.02,0.006062718
13/01/97,759.5,762.849976,756.690002,759.51001,759.51001,445400000,0.02,-6.54E-05
14/01/97,759.51001,772.039978,759.51001,768.859985,768.859985,531600000,0.02,0.012156795
15/01/97,768.859985,770.950012,763.719971,767.200012,767.200012,524990000,0.02,-0.002239921
16/01/97,767.200012,772.049988,765.25,769.75,769.75,537290000,0.02,0.003239666
17/01/97,769.75,776.369995,769.719971,776.169983,776.169983,534640000,0.02,0.008227178
20/01/97,776.169983,780.080017,774.190002,776.700012,776.700012,440470000,0.02,0.000604063
21/01/97,776.700012,783.719971,772,782.719971,782.719971,571280000,0.02,0.007642223
22/01/97,782.719971,786.22998,779.559998,786.22998,786.22998,589230000,0.02,0.004395767
23/01/97,786.22998,794.669983,776.640015,777.559998,777.559998,685070000,0.02,-0.011167118
24/01/97,777.559998,778.210022,768.169983,770.52002,770.52002,542920000,0.02,-0.009173753
27/01/97,770.52002,771.429993,764.179993,765.02002,765.02002,445760000,0.02,-0.007242216
28/01/97,765.02002,776.320007,761.75,765.02002,765.02002,541580000,0.02,-7.86E-05
29/01/97,765.02002,772.700012,765.02002,772.5,772.5,498390000,0.02,0.009651423
30/01/97,772.5,784.169983,772.5,784.169983,784.169983,524160000,0.02,0.014915221
31/01/97,784.169983,791.859985,784.169983,786.159973,786.159973,578550000,0.02,0.002455906
03/02/97,786.159973,787.140015,783.119995,786.72998,786.72998,463600000,0.02,0.000646208
04/02/97,786.72998,789.280029,783.679993,789.26001,789.26001,506530000,0.02,0.003132139
05/02/97,789.26001,792.710022,773.429993,778.280029,778.280029,580520000,0.02,-0.014087998
06/02/97,778.280029,780.349976,774.450012,780.150024,780.150024,519660000,0.02,0.002321264
07/02/97,780.150024,789.719971,778.190002,789.559998,789.559998,540910000,0.02,0.011911004
10/02/97,789.559998,793.460022,784.690002,785.429993,785.429993,471590000,0.02,-0.005323078
11/02/97,785.429993,789.599976,780.950012,789.590027,789.590027,483090000,0.02,0.005203946
12/02/97,789.590027,802.77002,789.590027,802.77002,802.77002,563890000,0.02,0.016475832
13/02/97,802.77002,812.929993,802.77002,811.820007,811.820007,593710000,0.02,0.011131796
14/02/97,811.820007,812.200012,808.150024,808.47998,808.47998,491540000,0.02,-0.004201314
18/02/97,808.47998,816.289978,806.340027,816.289978,816.289978,474110000,0.02,0.009535158
19/02/97,816.289978,817.679993,811.200012,812.48999,812.48999,519350000,0.02,-0.004744645
20/02/97,812.48999,812.48999,800.349976,802.799988,802.799988,492220000,0.02,-0.012076574
21/02/97,802.799988,804.940002,799.98999,801.77002,801.77002,478450000,0.02,-0.001362375
24/02/97,801.77002,810.640015,798.419983,810.280029,810.280029,462450000,0.02,0.010479512
25/02/97,810.280029,812.849976,807.650024,812.030029,812.030029,527450000,0.02,0.002078836
26/02/97,812.099976,812.700012,798.130005,805.679993,805.679993,573920000,0.02,-0.00792927
27/02/97,805.679993,805.679993,795.059998,795.070007,795.070007,464660000,0.02,-0.013335045
28/02/97,795.070007,795.700012,788.5,790.820007,790.820007,508280000,0.02,-0.005438361
03/03/97,790.820007,795.309998,785.659973,795.309998,795.309998,437220000,0.021,0.005579112
04/03/97,795.309998,798.929993,789.97998,790.950012,790.950012,537890000,0.021,-0.005579674
05/03/97,790.950012,801.98999,790.950012,801.98999,801.98999,532500000,0.021,0.013778886
06/03/97,801.98999,804.109985,797.5,798.559998,798.559998,540310000,0.021,-0.004368494
07/03/97,798.559998,808.190002,798.559998,804.969971,804.969971,508270000,0.021,0.0079124
10/03/97,804.969971,813.659973,803.659973,813.650024,813.650024,468780000,0.021,0.010642884
11/03/97,813.650024,814.900024,810.77002,811.340027,811.340027,493250000,0.021,-0.002925563
12/03/97,811.340027,811.340027,801.070007,804.26001,804.26001,490200000,0.021,-0.008847093
13/03/97,804.26001,804.26001,789.440002,789.559998,789.559998,507560000,0.021,-0.018529257
14/03/97,789.559998,796.880005,789.559998,793.169983,793.169983,491540000,0.021,0.004479257
17/03/97,793.169983,796.280029,782.97998,795.710022,795.710022,495260000,0.021,0.003114802
18/03/97,795.710022,797.179993,785.469971,789.659973,789.659973,467330000,0.021,-0.007714857
19/03/97,789.659973,791.590027,780.030029,785.77002,785.77002,535580000,0.021,-0.005020755
20/03/97,785.77002,786.289978,778.039978,782.650024,782.650024,497480000,0.021,-0.004060997
21/03/97,782.650024,786.440002,782.650024,784.099976,784.099976,638760000,0.021,0.001768434
24/03/97,784.099976,791.01001,780.789978,790.890015,790.890015,451970000,0.021,0.00853991
25/03/97,790.890015,798.109985,788.390015,789.070007,789.070007,487520000,0.021,-0.002386337
26/03/97,789.070007,794.890015,786.77002,790.5,790.5,506670000,0.021,0.001728141
27/03/97,790.5,792.580017,767.320007,773.880005,773.880005,476790000,0.021,-0.021331298
31/03/97,773.880005,773.880005,756.130005,757.119995,757.119995,555880000,0.021,-0.021977545
01/04/97,757.119995,761.48999,751.26001,759.640015,759.640015,515770000,0.02,0.00324432
02/04/97,759.640015,759.650024,747.590027,750.109985,750.109985,478210000,0.02,-0.012703396
03/04/97,750.109985,751.039978,744.400024,750.320007,750.320007,498010000,0.02,0.000201367
04/04/97,750.320007,757.900024,744.039978,757.900024,757.900024,544580000,0.02,0.009973109
07/04/97,757.900024,764.820007,757.900024,762.130005,762.130005,453790000,0.02,0.005487087
08/04/97,762.130005,766.25,758.359985,766.119995,766.119995,450790000,0.02,0.005143076
09/04/97,766.119995,769.530029,759.150024,760.599976,760.599976,451500000,0.02,-0.007309827
10/04/97,760.599976,763.72998,757.650024,758.340027,758.340027,421790000,0.02,-0.003054276
11/04/97,758.340027,758.340027,737.640015,737.650024,737.650024,444380000,0.02,-0.027740961
14/04/97,737.650024,743.72998,733.539978,743.72998,743.72998,406800000,0.02,0.008129967
15/04/97,743.72998,754.719971,743.72998,754.719971,754.719971,507370000,0.02,0.01459016
16/04/97,754.719971,763.530029,751.98999,763.530029,763.530029,498820000,0.02,0.011527092
17/04/97,763.530029,768.549988,760.48999,761.77002,761.77002,503760000,0.02,-0.002386337
18/04/97,761.77002,767.929993,761.77002,766.340027,766.340027,468940000,0.02,0.00590269
