Dates,beta_1,beta_2,beta_3,beta_4,beta_5
19-sep-96,0.152237045,-0.017714152,0.223058523,-0.010832482,-0.027478684
20-sep-96,0.152001571,-0.023522454,0.227404305,-0.010071436,-0.026533824
23-sep-96,0.150145263,-0.006915516,0.225106205,-0.014345809,-0.026242222
24-sep-96,0.153748532,-0.015776362,0.221308367,-0.013320594,-0.027891776
25-sep-96,0.153657576,-0.015850966,0.221058083,-0.01495049,-0.025750787
26-sep-96,0.153462915,-0.014190311,0.21716099,-0.014228473,-0.026634748
27-sep-96,0.155374911,-0.02204297,0.219618022,-0.014713828,-0.02478646
30-sep-96,0.153739633,-0.004343295,0.223791976,-0.012812624,-0.022643284
01-oct-96,0.153147985,-0.006193899,0.217030618,-0.015337405,-0.026382299
02-oct-96,0.152356622,-0.007137419,0.214914313,-0.016566873,-0.023462541
03-oct-96,0.152933301,-0.005292427,0.215314082,-0.018110337,-0.023312265
04-oct-96,0.15601822,-0.042108219,0.209844862,-0.018085583,-0.02693484
07-oct-96,0.153674617,-0.029011561,0.209896362,-0.019281566,-0.029384654
08-oct-96,0.154408518,-0.024072433,0.215033024,-0.018167552,-0.027862383
09-oct-96,0.153688076,-0.017334802,0.219602434,-0.013531281,-0.024519573
10-oct-96,0.15381541,-0.01386647,0.222652829,-0.010323148,-0.021897395
11-oct-96,0.154421413,-0.033071698,0.219503203,-0.011294672,-0.02290714
14-oct-96,0.154729086,-0.031610907,0.218417126,-0.009534041,-0.025493555
15-oct-96,0.153447488,-0.020894033,0.216632557,-0.010735295,-0.024447774
16-oct-96,0.154410441,-0.026198417,0.216050843,-0.010236926,-0.024883312
17-oct-96,0.154335105,-0.0263198,0.215504304,-0.010014369,-0.025428866
18-oct-96,0.153526767,-0.031479477,0.212658158,-0.011125141,-0.029396089
21-oct-96,0.153109493,-0.016414218,0.212747599,-0.011103403,-0.027875723
22-oct-96,0.155234921,-0.011612894,0.220741683,-0.00833317,-0.022727745
23-oct-96,0.155561873,-0.014603736,0.218534174,-0.004899263,-0.022018513
24-oct-96,0.155028191,0.001274813,0.226289475,-0.002111636,-0.016242046
25-oct-96,0.1565772,-0.003051289,0.220500039,0.000549982,-0.018371298
28-oct-96,0.155164494,0.023089837,0.221589549,0.003250102,-0.014057675
29-oct-96,0.15771471,0.011290718,0.214119798,0.000500047,-0.019889536
30-oct-96,0.157175761,0.017053375,0.219789907,-0.001742963,-0.015689459
31-oct-96,0.157366035,0.013270627,0.211035104,-0.000996674,-0.019180873
01-nov-96,0.159064353,0.005304297,0.212505584,-0.001487429,-0.013887068
04-nov-96,0.156644958,0.007202357,0.206457607,-0.00166527,-0.018058998
05-nov-96,0.151851601,0.01825557,0.211475334,-0.007275854,-0.014843459
